ID,study,numberYawns,age,gender,trial,condition,presentation,type,demonstrator,familiar,live,secs
P1,JM et al,1,5,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P2,JM et al,5,8,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P3,JM et al,1,7,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P4,JM et al,1,4,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P5,JM et al,2,5,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P6,JM et al,0,15,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P7,JM et al,0,7,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P8,JM et al,1,15,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P9,JM et al,2,8,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P10,JM et al,1,5,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P11,JM et al,1,9,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P12,JM et al,1,8,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P13,JM et al,0,5,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P14,JM et al,4,9,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P15,JM et al,0,7,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P16,JM et al,2,7,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P17,JM et al,1,3,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P18,JM et al,0,12,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P19,JM et al,3,4,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P20,JM et al,1,6,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P21,JM et al,2,11,F,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P22,JM et al,0,3,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P23,JM et al,4,15,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P24,JM et al,3,7,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P25,JM et al,1,4,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P26,JM et al,0,12,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P27,JM et al,2,6,M,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P28,JM et al,1,3,M,1,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P29,JM et al,0,2,F,2,Yawning,V+A,Pet,Human,Unfamiliar,Live,300
P1,JM et al,0,5,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P2,JM et al,0,8,M,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
P3,JM et al,0,7,M,2,Control,V+A,Pet,Human,Unfamiliar,Live,300
P4,JM et al,0,4,F,1,Control,V+A,Pet,Human,Unfamiliar,Live,300
